F1_2000Hz,F2_1500Hz,F3_1000Hz,F4_900Hz,F5_800Hz,F6_700Hz,F7_600Hz,F8_500Hz,F9_400Hz,F10_200Hz,F11_100Hz,F12_80Hz,F13_600Hz,F14_600Hz,F15_600Hz,F16_600Hz,F17_600Hz,F18_600Hz
NaN,NaN,-0.0134105518664001,-0.0239252338360529,-0.0256494147421715,-0.0246902934547203,-0.0139228058978915,-0.0253379820739307,-0.0320396308137182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0236805252934573,-0.0067763814877253,-0.0323654239715931,-0.0260668813522595,-0.0235687745735049,-0.0213901801859417,-0.0330050770474675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0156392440403579,-0.0186417477380019,-0.0268484739305374,-0.0212575688298481,-0.0195354586467147,-0.0249273992036857,-0.0173835192157033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0150121659244178,-0.0174274148594122,-0.0254588288905021,-0.0237435854311722,-0.00800883304327726,-0.024356368080286,-0.0237682197524312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0357899353111861,-0.0196715111087542,-0.0102071551324722,-0.0275620638664501,-0.013765505515039,-0.0165800853525676,-0.0245927941335443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0309531487728236,-0.0240650253545027,-0.019418605947673,-0.0243502117033737,-0.0196240274235606,-0.0384068033551254,-0.0224443819655183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0381270148063777,-0.00841578861582093,-0.0258324010016319,-0.0232906087573307,-0.0244439383968711,-0.0301859631096401,-0.01890423859489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0309065826440929,-0.0208604561339598,-0.0214472686590549,-0.022250842982127,-0.0186378126963973,-0.0274682893311062,-0.0045029741061929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0234056920016883,-0.0154511111031752,-0.0217983213903305,-0.0217359333570736,-0.00587901007384062,-0.0146963736866989,-0.0208292264772657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0326049611176131,-0.0140864068816882,-0.01546838262099,-0.0254765718515652,-0.0133340610191226,-0.0038047051881828,-0.0245710384382013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0134589247609256,-0.0186930822383147,-0.0198056822361347,-0.0225472643311756,-0.0193218132480979,-0.0216972372387924,-0.0243438516093496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0204347729886649,-0.0129431711684447,-0.026040458464801,-0.029986892574622,-0.0153731359168887,-0.0181320226644554,-0.023640330536485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0198673740233062,-0.0254203977237921,-0.0210191024186012,-0.030043870889737,-0.0108204772695899,-0.0226687184428253,-0.0110375616980794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0212129302526591,-0.0252505617390852,-0.0259947305263874,-0.0286612666483658,0.00547101814299822,-0.0200689314757862,-0.0251527052654031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0288661852682708,-0.0210365878592711,-0.0244307419003841,-0.0298642373915451,-0.00822340976446867,-0.0178759834622421,-0.0257076431347135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0132025316561339,-0.0292619729589205,-0.0258728949071762,-0.0233522623117703,-0.0157149126753211,-0.0370678222631492,-0.0237825062407258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
