F1_2000Hz,F2_1500Hz,F3_1000Hz,F4_900Hz,F5_800Hz,F6_700Hz,F7_600Hz,F8_500Hz,F9_400Hz,F10_200Hz,F11_100Hz,F12_80Hz,F13_600Hz,F14_600Hz,F15_600Hz,F16_600Hz,F17_600Hz,F18_600Hz
NaN,NaN,-0.0194946906218926,-0.0187617442134069,-0.0128470422496321,-0.0113472082690957,-0.0125106600753497,-0.0180875758378534,-0.00717867589264642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0248183912287156,-0.0143141946318792,-0.00907693670887966,-0.0169840940313103,-0.017843264125986,-0.0115994984953431,-0.00775264999538194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0189150727043549,-0.0137242949131178,-0.00995867566962261,-0.0172437281386616,-0.0227391523949336,-0.00770755733537953,-0.00352915799885523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0160573466370503,-0.00581334294111002,-0.014484381841612,-0.0224721171931985,-0.0148957585624885,-0.0136810417025117,-0.0128017594543053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0125200344870488,-0.0164643949392484,-0.0136917331983568,-0.0208297112064126,-0.0083274198404979,-0.0175474646239309,-0.016562682154472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0144110849748055,-0.0115170231583761,-0.0192834498157026,-0.0141118207053902,-0.0160131593875121,-0.020196891084197,-0.013864566150005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0204633964846532,-0.0150567939999746,-0.0166685195436003,-0.0208049193994763,-0.0165628632239532,-0.0199372756032972,-0.0193106984224869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0176509140680234,-0.0129239162924932,-0.0232156613637926,-0.0203231089787247,-0.0203729038767051,-0.0157450201659231,-0.021685217085178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0202222584436337,-0.020314072680776,-0.0316784405877115,-0.0210911334531071,-0.0106759546033572,-0.0248922283499269,-0.0304525015380932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0253805375347535,-0.0317169813934015,-0.0273436182906153,-0.0167037845628026,-0.0155574818782043,-0.0228503781108884,-0.0259047043946339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.026866295064489,-0.0304561382654356,-0.0286135325004579,-0.0121340082065823,-0.0266948146454524,-0.027508853629115,-0.0209085313108517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0344853891680638,-0.0299481018009828,-0.0229486139287474,-0.0251177252309086,-0.0277762291661929,-0.0267126845865278,-0.024858046832378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0326410724471013,-0.0299496664229082,-0.0274371044506552,-0.0275749080853226,-0.0304879611067008,-0.0217013123183278,-0.0295938966301037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
