F1_2000Hz,F2_1500Hz,F3_1000Hz,F4_900Hz,F5_800Hz,F6_700Hz,F7_600Hz,F8_500Hz,F9_400Hz,F10_200Hz,F11_100Hz,F12_80Hz,F13_600Hz,F14_600Hz,F15_600Hz,F16_600Hz,F17_600Hz,F18_600Hz
NaN,NaN,-0.022568606955853,-0.0265762452521206,-0.0288992480248756,-0.0205012687899095,-0.0305238094151719,-0.0222353800927522,-0.0260447939072037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0200772445629506,-0.0278613027670266,-0.0298095227093048,-0.0209466272450906,-0.0291510585666401,-0.0181000843440415,-0.0329713192913914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0253175172935395,-0.0278749187030674,-0.0307531014890022,-0.0279220098115426,-0.0343756478250725,-0.0192085072194459,-0.0338022266660118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0295619640479951,-0.0314160306491734,-0.0325346284419841,-0.0253515781320554,-0.0349126670480473,-0.0214871927892091,-0.0303532225225354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0295857500265508,-0.0303663183488728,-0.0340351567477531,-0.0230976471163255,-0.0404927421332104,-0.0274092308973195,-0.0295516890619183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0266165073941617,-0.0348379146792771,-0.0336429768115825,-0.0245741100467664,-0.0370313886523945,-0.0224727928434731,-0.0298955706093693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0263233456741242,-0.0328499693908573,-0.0323392928451843,-0.0233778075732213,-0.0331963513017399,-0.0163855008577229,-0.0355219324264908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0275263350437551,-0.0314335395135762,-0.0337509170979805,-0.0272863076485616,-0.0327730093122227,-0.020476093122852,-0.0373231847916031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0319046128521829,-0.0336342920102955,-0.0352030911356754,-0.0225697548545819,-0.0316116314352257,-0.0217433623765828,-0.0306267892156029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0278906311820416,-0.0328635108210922,-0.0339714542836494,-0.0198758670546037,-0.0333465922594769,-0.0275770738517167,-0.03116071644763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0262568119893937,-0.0360178072490574,-0.0353319489270992,-0.0200186015523893,-0.031796200943063,-0.0212271488999249,-0.0320238475833321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0275318484733968,-0.0328646656610848,-0.0282605842561073,-0.0192842350758535,-0.0286678325355751,-0.0186876185034635,-0.0364571479294682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0255595866571336,-0.0308340844251992,-0.0303291820794887,-0.0199526639141065,-0.0323101047397358,-0.0231425627862336,-0.0341942575905705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0299408819507031,-0.0324579943456532,-0.0320211530536956,-0.0167474613942128,-0.0345342893124325,-0.0256988569890382,-0.0287725259695435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0267502453158765,-0.0297593195476414,-0.0279762142211742,-0.0208599956191999,-0.0359617833019001,-0.0255576312338235,-0.0294145983789349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0264662291835217,-0.033175448004234,-0.0281978876203842,-0.024885171786688,-0.0350822795153363,-0.0212363503669621,-0.0317781833146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0279794234763055,-0.029133060995567,-0.0261399813801593,-0.0233271808780652,-0.0312320429802639,-0.0168986409698846,-0.0308939484093571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0237657476197152,-0.026821201715696,-0.0272165902764148,-0.0224397235967141,-0.0316539879859192,-0.0177228055690648,-0.0283408207033062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0265625838170915,-0.0276159365215184,-0.0278390304059334,-0.0206842550493699,-0.0277563285053475,-0.0157863810454728,-0.0240324107144261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
