F1_2000Hz,F2_1500Hz,F3_1000Hz,F4_900Hz,F5_800Hz,F6_700Hz,F7_600Hz,F8_500Hz,F9_400Hz,F10_200Hz,F11_100Hz,F12_80Hz,F13_600Hz,F14_600Hz,F15_600Hz,F16_600Hz,F17_600Hz,F18_600Hz
NaN,NaN,-0.0101503935681346,-0.0173936993184422,-0.0076065226069962,-0.0122188408034466,-0.0126750010531396,-0.0319552760677955,-0.0246282677496007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0056225453542235,-0.0137929268482064,-0.00480249659934392,-0.00834535845691183,-0.0121721427422017,-0.0301530551272056,-0.0256952281439832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00644222097859407,-0.0112640507819985,-0.00533284755268445,-0.00581927635842779,-0.013862046180293,-0.024408340837302,-0.0264862935388616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00579731734857584,-0.00850463512567027,-0.00430656732836117,-0.00771611967259863,-0.0133841286879033,-0.0201304782288692,-0.0253422755146554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00795588093266512,-0.00889625626829608,-0.00647278638401379,-0.00920729749971845,-0.0124254066031426,-0.0236625190930984,-0.021615793123298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00174517007932688,-0.0113634229007099,-0.00666033612408986,-0.0122763592856548,-0.00957785057835281,-0.0248012099521778,-0.022669528737121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0011999179647925,-0.0101250060203408,-0.00785997273245206,-0.00754909628206709,-0.0078466150444001,-0.0211319293933533,-0.0255195434535077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00404831217989946,-0.00788644182709201,-0.00685900585570683,-0.00381806903654554,-0.00703105586580932,-0.0173022378342769,-0.0266485299313596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00340035381183649,-0.0061116017701958,-0.00617092611112942,-0.00638823994571188,-0.0040801044087857,-0.0184783492344044,-0.0253270204508832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00243092151746775,-0.00858167412904247,-0.00697149099626889,-0.0091722983973644,-0.00494116800837219,-0.0248517062621734,-0.0230723816299966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.00226946351661657,-0.0115570076110695,-0.00572703914561619,-0.00780606680685499,-0.00519476714543998,-0.025087628896775,-0.0252567242229513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00281907814011599,-0.0109148420694207,-0.00689583035030713,-0.00268112906390646,-0.00690372544340789,-0.0243394974725864,-0.0284350487733415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00532627301678682,-0.0107891135218476,-0.00625047968545308,-0.00270972066694715,-0.00810898724012077,-0.0244927745419166,-0.028254595711284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00617832141385103,-0.0094985612037514,-0.00741165267148366,-0.00974193253690222,-0.00854086014442146,-0.0278413262324951,-0.0263940180981687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00311019095048929,-0.0134174548390244,-0.00570807741799702,-0.0109481815355442,-0.0114481511991471,-0.0318695757644794,-0.0232970911407998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00238884436354662,-0.0150524288716648,-0.00767098875561108,-0.00863105096990087,-0.0118496443610638,-0.0279919955986164,-0.0239653150880865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00949533852205301,-0.0148274585905407,-0.00967728109875073,-0.00543976240927198,-0.0127059768419713,-0.0262784551935814,-0.0272740620518258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00866549285516764,-0.012064354896817,-0.00921771066108098,-0.00951217525774458,-0.0117392453830689,-0.0235064666824959,-0.0275832425201467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00561749758586908,-0.00922568368938907,-0.0087085379830872,-0.0139378387587688,-0.0104328978341073,-0.026637796695771,-0.0261598463500074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00228455486164118,-0.0126864970031117,-0.0078828646413361,-0.0121263045924328,-0.0106912094634026,-0.0263141248481891,-0.0225808482015661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00659389617309595,-0.0133621901574467,-0.00994660096087804,-0.00992553346926191,-0.0110587466042489,-0.0231195394056461,-0.0248452659094861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00990621941552187,-0.0125335552099083,-0.00975046442666402,-0.00681621992165067,-0.0107767793815583,-0.0234466012673996,-0.0262613977635435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00650113644466425,-0.00966051819947704,-0.00935413079181065,-0.0102052096384189,-0.00976355629973114,-0.0246788527923248,-0.024964177175813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00212189006075884,-0.00943893793252452,-0.00809295238771786,-0.0127145465570114,-0.010195056675002,-0.0273801911729,-0.0252992297852567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.000889973811960469,-0.0120918475392197,-0.00756029175439229,-0.00852018633061865,-0.0103357795160264,-0.0255496021466873,-0.0222752067590288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00830127122268702,-0.0127178639474247,-0.00802202286043515,-0.00539967828566053,-0.0109527807217091,-0.0238545019286297,-0.0260181549335054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00858340608344103,-0.0142639153006409,-0.00785220550217976,-0.00392003023201444,-0.00806936877779663,-0.0243775699394367,-0.0266234028482965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00452928441033388,-0.0114029296043251,-0.00593330846944203,-0.00920405649715879,-0.00962434220127761,-0.0262160938339851,-0.0277964036310247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00200027795896555,-0.0114603363278244,-0.00639299066582074,-0.0105643462496422,-0.00831812503747642,-0.0253512304382942,-0.0275481875384382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00616179975137735,-0.0142688885631893,-0.00605857135572781,-0.00815736168199995,-0.0108437787275761,-0.0234592672544143,-0.0260058242226175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0105658565686705,-0.015801566124234,-0.00946521894851079,-0.00921091103130796,-0.00975485774688423,-0.0226283598797939,-0.0290106620038083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00659745382533098,-0.0116540886762474,-0.00873668255129208,-0.0116986785190723,-0.00685714068822563,-0.0243931975322388,-0.0282985727632574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.000255091212845097,-0.00721188488629802,-0.00565963001766553,-0.012188628699126,-0.00899169477634132,-0.0258489292221687,-0.0292744311833909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00120129632220293,-0.0106187932494019,-0.00681532682695737,-0.0127685073869846,-0.0103075045626611,-0.0247464481847904,-0.027676970824056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.00897949757442499,-0.013190621912751,-0.00869816304960599,-0.0114421550291202,-0.0120738137047738,-0.0246325101810119,-0.026906804307752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
