F1_2000Hz,F2_1500Hz,F3_1000Hz,F4_900Hz,F5_800Hz,F6_700Hz,F7_600Hz,F8_500Hz,F9_400Hz,F10_200Hz,F11_100Hz,F12_80Hz,F13_600Hz,F14_600Hz,F15_600Hz,F16_600Hz,F17_600Hz,F18_600Hz
NaN,NaN,-0.041543282859493,-0.038550894886915,-0.0313994056535497,-0.028300191401892,-0.0274135877940959,-0.0293607945156206,-0.0320064748278431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0433122928370722,-0.0344159157878797,-0.0335156685662999,-0.0302591166788867,-0.0265836117420501,-0.0261351587784399,-0.0301361555805973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0412445704569109,-0.0354890229112546,-0.0354731596065297,-0.028708352833443,-0.0226545666907138,-0.0255443649900068,-0.0290344754806332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0396294894744642,-0.0347140880233686,-0.0364792301309838,-0.0311685904259017,-0.0267514733228988,-0.024504822732221,-0.0253408315232567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.036997162096668,-0.0381392130560319,-0.0355560845685735,-0.0310232854778102,-0.027878355011732,-0.024309859664451,-0.030771392082291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0400327148963697,-0.0401236938244741,-0.0362725323987737,-0.0313146031791499,-0.025813705996067,-0.0298736179781069,-0.0361310603669456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.040585417591501,-0.0355615356869142,-0.0395023590875401,-0.0329205758268169,-0.0271377859268493,-0.0283956463050951,-0.0355639407983593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0388384985853918,-0.0394504221088331,-0.0421708217812314,-0.0324931732708743,-0.0251770911369628,-0.031086721510898,-0.0351513648978046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0399699996341951,-0.0409156532890241,-0.0431692927134767,-0.0326837963754466,-0.0302804967019862,-0.030310464144956,-0.0310520182004742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0383842739393003,-0.044527024210159,-0.0412133290422692,-0.0325866594309142,-0.031304374114067,-0.0300609628272165,-0.0351391273191742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0422959963907488,-0.0435274543172757,-0.0402098289681211,-0.0318559809917739,-0.0311933790896243,-0.0343430350136866,-0.0356751965931229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
